age,infection,class
1.123875342982097,495.22901006092513,Children
1.4901032750290204,524.5819819132292,Children
2.0750954380047624,550.6940893654366,Children
2.0323844663453823,566.8752623344908,Children
2.6564599827655577,532.4989506620368,Children
3.1040845566339055,509.77081071330696,Children
3.889153336326652,489.007707864311,Children
4.224166535248292,464.1927729232647,Children
4.5471702284856335,437.4432403556301,Children
4.87587134469525,408.27546075476016,Children
5.236947167282599,380.87279480037137,Children
5.7038323674533125,346.7124718586636,Children
6.197896748100243,320.4538227699978,Children
6.729614197496225,297.0733010264433,Children
7.182886354294681,271.37787613996255,Children
7.636190032105432,246.0296867249208,Children
8.081723780385529,226.34143549433355,Children
8.959642716498951,224.6273549398668,Children
9.872717610734021,245.17738147684344,Children
10.783385445848403,239.21124474030182,Children
11.693829768330144,230.78289284264787,Children
12.562186662086631,214.9868355782806,Children
13.430308007914874,196.5959823364334,Children
14.340013019380976,180.0233802904845,Children
15.208032065196594,160.5055901095127,Children
16.075966863942984,140.05973421396777,Children
16.98684101841057,136.3664114722992,Children
17.897319727451176,128.316861907124,Children
18.80847757102941,127.74865840840584,Children
19.71930874229841,123.58183275113868,Children
20.63055255227381,123.96063508361749,Children
21.541452496660543,120.55141409130795,Children
22.452696306635943,120.93021642378676,Children
23.364550478031234,128.03276015776487,Children
24.275906044322955,129.6426700707999,Children
25.186470719760734,122.54012633682191,Children
26.096536790094937,109.94494878190073,Children
27.006817776422068,99.71728580497222,Children
27.918104569596053,100.56959105304963,Children
28.82965785860125,104.35761437783799,Children
29.740987634973827,105.68342254151389,Children
30.652540923979032,109.47144586630213,Children
31.56403403650622,112.59656510925254,Children
32.47594838437953,120.3620129250686,Children
33.38797448856916,129.35856832144077,Children
34.299424617897756,132.01018464879257,Children
35.210634041314286,132.01018464879257,Children
36.123012607732306,144.8894639530729,Children
37.03609609860709,165.53419107316915,Children
37.9485778247017,179.5498773748859,Children
38.85933162621325,174.53074646954144,Children
39.77079035218157,177.27706338001292,Children
40.68254996053998,183.33790069967426,Children
41.59424079578065,188.64113335437787,Children
42.50515793344682,185.4213135283078,Children
43.20785729330689,169.81150074407606,Children
43.72567922978294,145.4471451647778,Children
44.32428426726837,149.15099019345973,Children
44.82356359301188,174.00312893501734,Children
45.57086579931472,193.470863093483,Children
46.31825397201472,213.88560308314572,Children
46.858762781839765,236.6543289960697,Children
47.35778768798404,258.7037814324417,Children
48.06423518276062,284.38342288840244,Children
48.97654688642528,296.5261421017517,Children
49.797037284286475,323.7670278933109,Children
50.48738291468026,331.7621246231923,Children
51.3811196678725,321.79015322068705,Children
52.00192815417746,316.60529629488303,Children
1.1775135989036567,274.9659760114982,Adults
1.978436253802922,246.34219864921585,Adults
2.8327134755130956,257.9514379109907,Adults
3.5806650692510402,284.57282405464184,Adults
4.328910859103734,314.43507459838975,Adults
5.159821363363374,342.3970001075354,Adults
6.071214754869848,344.42359258629716,Adults
6.9383621014181855,315.30316327698705,Adults
7.598412098870179,286.13538367611704,Adults
8.175561833986988,256.27313313236914,Adults
8.538598788889274,225.12611134429727,Adults
9.198147888800438,197.35358700139102,Adults
9.042247827537194,222.07043919563472,Adults
10.031102100875405,164.8712869913312,Adults
10.981489850137056,140.1923150303354,Adults
12.098172717407436,122.35072517058245,Adults
13.072598008572182,108.98742066369039,Adults
13.918284441056525,96.93545617583084,Adults
14.819359070994992,76.54405311557969,Adults
15.644237169888058,60.86637158011217,Adults
16.605834507508362,45.60537261037132,Adults
17.722696184884853,29.733554879508233,Adults
19.0474469618756,22.631011145530124,Adults
20.372610377572755,20.07409540129811,Adults
21.697670633593308,16.38077265962943,Adults
23.105877588954257,16.09667091027029,Adults
24.135386599604363,15.663753958865982,Adults
24.721146074079396,15.465333689472232,Adults
25.921939037447764,11.645743503643985,Adults
26.832830385194782,8.141821928214881,Adults
27.7441343716482,9.183528342531645,Adults
28.613817726912977,7.999771053535255,Adults
29.566123386495434,4.448499186546314,Adults
30.477401583029703,5.20610385150394,Adults
31.34732306521464,6.645552714923497,Adults
32.63142721029665,8.047121345095093,Adults
33.542714003470635,8.899426593172507,Adults
34.33586086129151,11.943373907734554,Adults
35.36556268228954,13.634455749157837,Adults
36.608653978610896,19.50589190257972,Adults
37.613878403129725,28.57347273629182,Adults
38.29422793249954,32.91391612927839,Adults
39.261473835523056,41.85522951883081,Adults
40.50456513184441,47.72666567225269,Adults
41.53452608012533,52.272293661998674,Adults
42.079017344703736,53.7306826420421,Adults
43.23870920047702,53.408700659435226,Adults
44.48149961440828,55.96561640366724,Adults
45.511820393465925,64.4751402297095,Adults
46.09841292326589,73.45365741977332,Adults
46.63888210667548,95.78585874003113,Adults
47.13843521492578,123.65398557637263,Adults
47.38923147379867,148.82111649559283,Adults
47.638996094969166,162.62372648529015,Adults
47.931485872254584,190.8192467661312,Adults
48.271923612242055,225.76105620635707,Adults
48.82435344376689,292.94367916968747,Adults
48.60028295061837,258.0093104895638,Adults
49.35136452834216,319.1106002213149,Adults
49.685608141748624,350.9989697409089,Adults
50.10196761709931,374.940855496623,Adults
50.724233233836266,385.8077474096095,Adults
51.344525921758226,374.940855496623,Adults
51.71483950234875,347.90857404510245,Adults
52.12611306236569,315.82401648414543,Adults
1.2880220652073993,123.52501240126674,Elderly
2.163827087614475,98.52405845766395,Elderly
3.0970224171065954,89.77372457740296,Elderly
3.9773484123407084,91.76243682291681,Elderly
4.88945296086775,101.62313504025644,Elderly
5.801796066146931,114.1117744391679,Elderly
6.703588348344864,111.76530443520176,Elderly
7.6141568445114025,104.70484984927691,Elderly
