age,infection,class
1.1957720267607836,88.46336655140296,Children
1.9410819886459292,81.55870794043717,Children
2.810610277511933,84.24965867476492,Children
3.5145141304034597,90.21752306337805,Children
4.259824092288606,92.57901809690739,Children
5.222516126390253,89.36377135675187,Children
5.778048088721312,96.97289175843106,Children
6.495753977944044,100.17923199792132,Children
7.24106393982919,101.19033188296693,Children
7.9863739017143365,107.58944055140991,Children
8.954639835103585,103.08229447116919,Children
9.200953098860499,100.71758048257647,Children
9.650899483257827,109.30423881282618,Children
10.150533198447501,113.57144224266631,Children
10.709975737739068,105.47827002335049,Children
11.133238185229398,99.5564366921438,Children
11.961360365101783,94.59782491436421,Children
12.748076435980547,99.38952227226909,Children
13.534792506859311,105.2618750442244,Children
14.307706541406873,111.28398897551392,Children
14.986441975106196,117.41243759884173,Children
15.538848182150481,112.59608145870286,Children
15.770722392514749,106.90067116663053,Children
16.29243936583435,103.00793660920496,Children
17.178530098297802,103.55182691649627,Children
18.089464496157426,102.41179483134417,Children
19.00039889401705,96.99664242687173,Children
19.911333291876673,96.85413841622773,Children
20.822267689736293,91.70024336460264,Children
21.733202087595917,92.27025940717868,Children
22.678641576283557,90.94220119687131,Children
23.30663422935345,95.26020466754287,Children
23.555070883315164,103.03406234448968,Children
23.80350753727688,108.42467239157342,Children
24.30038084520031,114.02587169883111,Children
25.211315243059932,113.31335164561104,Children
26.122249640919556,112.4345769133063,Children
27.033184038779176,115.52216381059321,Children
27.737087891670704,109.94867361651633,Children
28.157064140034556,104.22091717599623,Children
28.405500793996268,99.32420793405726,Children
28.730834507517564,93.73983201694506,Children
29.186301706447374,87.59665565068713,Children
29.807393341351663,80.90556455831879,Children
30.238016874885304,73.85161603144022,Children
30.63551552122405,67.81003974684515,Children
31.13238882914748,61.441891771190896,Children
31.58785602807729,55.76887496650548,Children
32.08472933600072,49.81593956948363,Children
32.40677685039554,44.22793507802632,Children
32.74722707989863,38.25530170598819,Children
33.268944053218235,32.80808589912087,Children
33.98941034970721,27.739693253882194,Children
34.569095875617876,21.805419096349453,Children
35.314405837503024,16.505627081445965,Children
36.225340235362644,16.29187106547994,Children
37.136274633222264,20.376986037274946,Children
38.04720903108189,18.833192588631476,Children
38.90017487635044,22.95868369677561,Children
39.41361062787132,28.7847226652716,Children
39.73450797257187,34.924270457184434,Children
40.36595113472457,41.84759030763931,Children
41.27688553258419,45.71894926346829,Children
42.18781993044381,48.14151744441648,Children
43.098754328303436,48.94904017139922,Children
44.009688726163056,53.627921854210925,Children
44.92062312402268,53.7229245279736,Children
45.54631543770404,46.5792512536525,Children
46.17660843016246,43.34982008651161,Children
46.71143733799671,49.9465682459073,Children
47.40498966363983,56.121742040481124,Children
48.1917057345186,60.42951952890739,Children
48.81279736942289,66.74168378609436,Children
49.51670122231441,72.15344323793241,Children
50.26201118419956,77.60719047862094,Children
51.048727255078326,83.69626810009734,Children
51.83544332595709,84.59582466728766,Children
1.4442086807224994,3.2765047599935713,Adults
2.4734462471353202,3.517404397034653,Adults
3.059046931473648,3.050873409807224,Adults
4.135605765307749,2.397730027688823,Adults
5.502007362097182,2.658987380536189,Adults
6.909815067880236,2.9202447333835266,Adults
8.151998337688813,2.896494064942857,Adults
9.181235904101634,2.22355845912395,Adults
9.808242697433581,2.0245052379068795,Adults
10.884801531267684,2.3739793592481533,Adults
11.93375629243937,2.963787625524759,Adults
12.499639782018832,2.397730027688823,Adults
13.61760472484655,2.468982033010832,Adults
14.859787994655125,1.8277139851128084,Adults
15.770722392514749,1.3051992794181047,Adults
16.516032354399897,2.0245052379068795,Adults
17.675403406221232,3.2765047599935713,Adults
19.00039889401705,3.4190087706375607,Adults
20.408206599800103,2.9202447333835266,Adults
21.733202087595917,2.8014913911801784,Adults
23.14100979337897,2.6352367120955194,Adults
24.466005281174784,3.2527540915529016,Adults
25.708188550983362,2.7064887174175,Adults
26.75714331215505,2.397730027688823,Adults
27.323026801734514,2.397730027688823,Adults
28.440991744562233,2.3264780223668424,Adults
29.48994650573392,3.0073305176659915,Adults
30.05582999531338,3.2685878705133575,Adults
31.1737949381411,3.3952581021969195,Adults
32.58160264392415,2.350228690807512,Adults
33.90659813171997,1.8514646535534496,Adults
35.231593619515785,1.5902073007060835,Adults
36.28054838068746,1.5704150770055492,Adults
36.84643187026693,1.3527006162994155,Adults
37.96439681309465,1.186445937214728,Adults
39.04095564692875,0.9964405896893709,Adults
39.95189004478837,0.8776872474860227,Adults
40.82141833365438,0.8563116458894342,Adults
42.02219549446934,1.1626952687740584,Adults
42.93312989232896,1.2814486109774066,Adults
43.84406429018858,0.94893925280806,Adults
44.754998688048204,0.6639312315200243,Adults
45.665933085907824,0.35517254179131896,Adults
46.56766612621331,1.0333860739304441,Adults
47.44639577263345,2.214849880695681,Adults
48.72998515143565,1.0914432634520495,Adults
49.7030287127857,0.8628430797106148,Adults
50.551853947154896,0.49767655243536524,Adults
51.462788345014516,1.210196605655426,Adults
51.959661652937946,0.046413852062642036,Adults
1.6926453346842143,0.7917324474150575,Elderly
2.603579732543838,0.9940655228453181,Elderly
3.5145141304034597,0.5451778893166761,Elderly
4.425448528263083,0.2601698680286688,Elderly
5.336382926122705,0.35517254179131896,Elderly
6.578566195931281,0.23641919958799917,Elderly
7.448094484797285,0.20316826377106167,Elderly
8.400434991650528,0.3657283944316134,Elderly
9.476993825484627,-0.33359684298807224,Elderly
10.38792822334425,0.2601698680286688,Elderly
11.547299275165589,0.23641919958799917,Elderly
12.416827564031593,0.2292939990558125,Elderly
13.534792506859311,0.4237855839532756,Elderly
