country,val,foreign
AUS,0.04123711340206185,1
CAN,0.05154639175257731,1
CHE,0.03092783505154639,1
NZL,0.2525773195876288,1
SWE,0.3737113402061857,1
USA,0.731958762886598,1
AUS,0.8582474226804124,0
CAN,0.9587628865979382,0
CHE,0.979381443298969,0
NZL,0.9896907216494847,0
SWE,0.979381443298969,0
USA,0.9896907216494847,0


