year,bottom90,top10,top5,top1,top0.5,top0.1,top0.01,class
1991,0.664,0.336,0.242,0.121,0.090,0.045,0.017,national
1992,0.653,0.347,0.253,0.130,0.098,0.050,0.020,national
1993,0.654,0.346,0.250,0.127,0.095,0.049,0.019,national
1994,0.652,0.348,0.251,0.126,0.094,0.047,0.018,national
1995,0.644,0.356,0.260,0.132,0.098,0.050,0.018,national
1996,0.648,0.352,0.258,0.132,0.100,0.052,0.020,national
1997,0.641,0.359,0.265,0.138,0.105,0.056,0.021,national
1998,0.637,0.363,0.267,0.139,0.106,0.056,0.021,national
1999,0.631,0.369,0.272,0.145,0.111,0.060,0.023,national
2000,0.624,0.376,0.281,0.152,0.118,0.065,0.025,national
2001,0.636,0.364,0.269,0.142,0.109,0.059,0.023,national
2002,0.637,0.363,0.268,0.139,0.105,0.056,0.021,national
2003,0.633,0.367,0.270,0.140,0.107,0.057,0.023,national
2004,0.624,0.376,0.280,0.150,0.116,0.063,0.026,national
2005,0.612,0.388,0.291,0.161,0.125,0.071,0.029,national
2006,0.601,0.399,0.302,0.169,0.133,0.074,0.031,national
2007,0.607,0.393,0.298,0.168,0.132,0.075,0.033,national
2008,0.612,0.388,0.294,0.166,0.130,0.074,0.032,national
2009,0.622,0.378,0.283,0.156,0.122,0.069,0.031,national
2010,0.606,0.394,0.298,0.168,0.133,0.077,0.035,national
2011,0.601,0.399,0.302,0.170,0.133,0.075,0.033,national
2012,0.590,0.410,0.312,0.179,0.142,0.082,0.037,national
